Date,Request Number,Request_Type,Request_VIP,Violation Reason,Justified
5/30/2024,REQ90906,Incident,Yes,"OLA - 2 min delay to pend the request, couldn't reach to the User",Yes
5/30/2024,REQ90908,Incident,Yes,"OLA, The user was not reachable",Yes
6/2/2024,REQ91140,Incident,No,Service Targets Breached in IT Security,Yes
6/2/2024,REQ91158,Incident,Yes,"OLA, The Agent started to work on the issue without changing the status",Yes
6/3/2024,REQ91274,Incident,No,Service Targets Breached in Datacenter ,Yes
6/5/2024,REQ91645,WO,No,Service Targets Breached in IT Security,Yes
6/11/2024,REQ92835,WO,No,Stop all Electronic Services Contracted Employee,Yes
6/25/2024,REQ93805,WO,No,SLA Breached in App Ops,Yes
6/27/2024,REQ94193,Incident,No,Violated at App Ops and Network,Yes
7/1/2024,REQ94674,Incident,No,Service Targets Breached in Network,Yes
7/23/2024,REQ97075,Incident,No,Service Targets Breached in Network,Yes
7/24/2024,REQ97170,WO,No,Service Targets Breached in IT Security,Yes
7/24/2024,REQ97191,WO,No,Service Targets Breached in IT Security,Yes
7/30/2024,REQ97645,Incident,No,Service Targets Breached in Network,Yes
7/31/2024,REQ97860,WO,No,Service Targets Breached in Network,Yes
8/15/2024,REQ99237,WO,No,Service targets Breached in ERP,Yes
8/20/2024,REQ99723,WO,No,Service targets Breached in IT Security,Yes
8/21/2024,REQ99584,Incident,No,Service Targets Breached in IT Security,Yes
8/21/2024,REQ99834,WO,No,Service Targets Breached in IT Security,Yes
9/3/2024,REQ101106,Incident,No,Service Targets Breached in Network,Yes
9/30/2024,REQ103590,Incident,No,,Yes
10/4/2024,REQ104216,WO,No,,No
10/6/2024,REQ104335,Incident,Yes,,Yes
